basket_id,cust_id,time_id,store_id,std_quantity,nunique_products,n_products,sum_spend,cust_id,cust_price_sensitivity,cust_lifestage,basket_id,basket_size,basket_price_sensitivity,basket_type,basket_dominant_mission,store_id,store_format,store_region,time_id,shop_week,date_from,date_to,shop_date,shop_hour
994111700771149,CUST0000926667,11466,STORE01508,0,1,1,0.99,CUST0000926667,LA,YF,994111700771149,S,MM,"Small Shop",Fresh,STORE01508,MS,N03,11466,200819,20080630,20080706,20080704,16
994111700803159,CUST0000975940,11466,STORE01093,0,4,4,4.68,CUST0000975940,UM,OF,994111700803159,M,MM,"Small Shop",Mixed,STORE01093,SS,N02,11466,200819,20080630,20080706,20080704,16
994111700727243,CUST0000860136,11466,STORE01758,0,5,5,6.69,CUST0000860136,LA,NULL,994111700727243,M,LA,"Top Up",Mixed,STORE01758,XLS,S01,11466,200819,20080630,20080706,20080704,16
994111700747032,CUST0000890280,11466,STORE02153,0,1,1,1.40,CUST0000890280,MM,YA,994111700747032,S,UM,"Small Shop",Nonfood,STORE02153,MS,W01,11466,200819,20080630,20080706,20080704,16
994111700754466,CUST0000901474,11466,STORE00916,0.8314794192830981,9,13,29.46,CUST0000901474,UM,OT,994111700754466,L,UM,"Top Up",Fresh,STORE00916,SS,N03,11466,200819,20080630,20080706,20080704,16
994111700434959,CUST0000409997,11466,STORE01546,0.6998542122237652,7,9,7.79,CUST0000409997,LA,YA,994111700434959,M,LA,"Top Up",Fresh,STORE01546,LS,W02,11466,200819,20080630,20080706,20080704,16
994111700453655,CUST0000438964,11466,STORE01348,1.5,2,5,4.64,CUST0000438964,UM,OT,994111700453655,M,LA,"Small Shop",Grocery,STORE01348,LS,N02,11466,200819,20080630,20080706,20080704,16
994111700498672,CUST0000509150,11466,STORE02676,0,9,9,18.13,CUST0000509150,UM,OT,994111700498672,M,MM,"Top Up",Mixed,STORE02676,MS,S01,11466,200819,20080630,20080706,20080704,16
994111700498675,CUST0000509150,11466,STORE02676,1.118033988749895,6,9,12.49,CUST0000509150,UM,OT,994111700498675,M,UM,"Top Up",Fresh,STORE02676,MS,S01,11466,200819,20080630,20080706,20080704,16
994111700506231,CUST0000520823,11466,STORE02577,0.6998542122237652,14,18,36.57,CUST0000520823,UM,YF,994111700506231,L,MM,"Top Up",Fresh,STORE02577,XLS,N01,11466,200819,20080630,20080706,20080704,16
994111700593914,CUST0000655620,11466,STORE01819,0,1,1,2.02,CUST0000655620,UM,OT,994111700593914,S,MM,"Small Shop",Fresh,STORE01819,LS,W03,11466,200819,20080630,20080706,20080704,16
994111700597828,CUST0000661598,11466,STORE02744,0,2,2,4.93,CUST0000661598,LA,YA,994111700597828,S,MM,"Small Shop",Mixed,STORE02744,SS,S01,11466,200819,20080630,20080706,20080704,16
994111700603473,CUST0000670207,11466,STORE00361,1,2,4,3.41,CUST0000670207,UM,OT,994111700603473,M,MM,"Small Shop",Fresh,STORE00361,MS,E03,11466,200819,20080630,20080706,20080704,16
